,Class,NER
7756,EVENT,第 8 次程序委員會會議
8181,EVENT,311 大地震
11478,EVENT,國安危機
8136,EVENT,第 9 屆第 3 會期第 9 次院會
8504,EVENT,麥寮事件
12554,EVENT,戴奧辛雞蛋事件風暴
12561,EVENT,戴奧辛雞蛋事件
12714,EVENT,玉山論壇
9739,EVENT,第 9 屆第 3 會期第 13 次院會
13040,EVENT,尼伯特颱風
13055,EVENT,蘇迪勒颱風
147,EVENT,臺南大地震
8044,EVENT,第 9 屆第 3 會期第 9 次會議
11329,EVENT,三一九槍擊案
5089,EVENT,五二○
3801,EVENT,財審會
3809,EVENT,臺北市世大運
10475,EVENT,院會
1399,EVENT,耘海輪事件
14834,EVENT,慶富案
15670,EVENT,318 學運
15703,EVENT,蘇建和案
7040,EVENT,瑪琳事件
2993,EVENT,世大運
1449,EVENT,德翔台北貨輪事件
16091,EVENT,第 2 次會議
16099,EVENT,第 9 屆第 4 會期第 15 次會議
16486,EVENT,第 9 屆第 5 會期第 4 次會議
3214,GPE,中華臺北
3508,GPE,泰國
3137,GPE,關西
3163,GPE,巴黎
3351,GPE,臺中
1,GPE,台灣
4832,GPE,韓國
3879,GPE,高雄市
4618,GPE,冰島
4805,GPE,南非
4812,GPE,德國
5052,GPE,加拿大
5532,GPE,墨西哥
5556,GPE,哥斯大黎加
5875,GPE,武陵
6094,GPE,台中
6591,GPE,臺北市內湖
6608,GPE,南投縣
3825,GPE,桃園
3096,GPE,成都
2427,GPE,中華民國臺灣
2807,GPE,中華民國台灣
1420,GPE,澎湖
1518,GPE,中華民國
1711,GPE,林佳龍
1715,GPE,法國
1777,GPE,丹麥
1790,GPE,柏林
1816,GPE,苗栗
1819,GPE,雲林
1824,GPE,新竹
1846,GPE,屏東
1889,GPE,金門
1900,GPE,南港舊莊
3022,GPE,中華
1958,GPE,中國大陸
2045,GPE,馬祖
2065,GPE,兩岸
2075,GPE,中國
2084,GPE,美國
2093,GPE,美方
2201,GPE,芬蘭
2232,GPE,花蓮縣
2264,GPE,花蓮
6641,GPE,南投
2470,GPE,日澳
2484,GPE,日本
2485,GPE,挪威
2000,GPE,旭東
6707,GPE,南港區
7797,GPE,義大利
7034,GPE,臺南
11410,GPE,觀塘
11609,GPE,台南市
12065,GPE,松山
12187,GPE,大潭
12273,GPE,泰安
12319,GPE,大雅
12330,GPE,霧峰
12340,GPE,東勢
12546,GPE,蘇丹
12582,GPE,中華台北
12892,GPE,桃園市
11350,GPE,永安
13208,GPE,英國
13545,GPE,南港國
13916,GPE,里斯本
13965,GPE,瑞典
13991,GPE,澳洲
14391,GPE,舊莊里
14806,GPE,西藏
15882,GPE,納粹
15901,GPE,紐倫堡
16517,GPE,高麗
16709,GPE,法台
16788,GPE,紐約
13441,GPE,新竹市
11066,GPE,台灣中華民國
10976,GPE,苗栗三義
10305,GPE,台中市
7060,GPE,新加坡
7091,GPE,遠東
7121,GPE,新南
7156,GPE,韓流
7322,GPE,基隆南港
7637,GPE,臺南市
1270,GPE,南韓
8028,GPE,基隆市
8049,GPE,福島
8056,GPE,六龜
8091,GPE,日方
8162,GPE,彰化縣
8191,GPE,社頭鄉
8231,GPE,東信路
8400,GPE,五指山
8470,GPE,麥寮
8519,GPE,雲林縣政府
8721,GPE,多明尼加
8741,GPE,非洲
8995,GPE,基法
9157,GPE,柯 P 
9215,GPE,台北市內湖區
9308,GPE,王功
9842,GPE,福利及
10010,GPE,桃園楊梅
6799,GPE,內湖南港區
1247,GPE,香港
6888,GPE,彰化
