,Class,NER
1399,EVENT,耘海輪事件
1449,EVENT,德翔台北貨輪事件
8181,EVENT,311 大地震
7040,EVENT,瑪琳事件
8044,EVENT,第 9 屆第 3 會期第 9 次會議
8504,EVENT,麥寮事件
5089,EVENT,五二○
147,EVENT,臺南大地震
7756,EVENT,第 8 次程序委員會會議
8136,EVENT,第 9 屆第 3 會期第 9 次院會
2993,EVENT,世大運
9739,EVENT,第 9 屆第 3 會期第 13 次院會
3809,EVENT,臺北市世大運
3801,EVENT,財審會
10475,EVENT,院會
2075,GPE,中國
2000,GPE,旭東
1958,GPE,中國大陸
2084,GPE,美國
2093,GPE,美方
2045,GPE,馬祖
2065,GPE,兩岸
1,GPE,台灣
2232,GPE,花蓮縣
2264,GPE,花蓮
2427,GPE,中華民國臺灣
2470,GPE,日澳
2484,GPE,日本
2485,GPE,挪威
2807,GPE,中華民國台灣
3022,GPE,中華
3096,GPE,成都
2201,GPE,芬蘭
1900,GPE,南港舊莊
1816,GPE,苗栗
1846,GPE,屏東
1048,GPE,臺北
1050,GPE,臺東
1057,GPE,臺中市
1074,GPE,臺中縣
1085,GPE,連江
1090,GPE,臺東縣
1091,GPE,嘉義
1127,GPE,菲律賓
1144,GPE,印尼
1156,GPE,越南
1247,GPE,香港
1270,GPE,南韓
1420,GPE,澎湖
1518,GPE,中華民國
1711,GPE,林佳龍
1715,GPE,法國
1777,GPE,丹麥
1790,GPE,柏林
3137,GPE,關西
1819,GPE,雲林
1824,GPE,新竹
1889,GPE,金門
3163,GPE,巴黎
3879,GPE,高雄市
3351,GPE,臺中
7797,GPE,義大利
8028,GPE,基隆市
8049,GPE,福島
8056,GPE,六龜
8091,GPE,日方
8162,GPE,彰化縣
8191,GPE,社頭鄉
8231,GPE,東信路
8400,GPE,五指山
7637,GPE,臺南市
8470,GPE,麥寮
8721,GPE,多明尼加
8741,GPE,非洲
8995,GPE,基法
9157,GPE,柯 P 
9215,GPE,台北市內湖區
9308,GPE,王功
9842,GPE,福利及
10010,GPE,桃園楊梅
10305,GPE,台中市
8519,GPE,雲林縣政府
7322,GPE,基隆南港
7156,GPE,韓流
7121,GPE,新南
3508,GPE,泰國
3825,GPE,桃園
1042,GPE,高雄
4618,GPE,冰島
4805,GPE,南非
4812,GPE,德國
4832,GPE,韓國
5052,GPE,加拿大
5532,GPE,墨西哥
5556,GPE,哥斯大黎加
5875,GPE,武陵
6094,GPE,台中
6591,GPE,臺北市內湖
6608,GPE,南投縣
6641,GPE,南投
6707,GPE,南港區
6799,GPE,內湖南港區
6888,GPE,彰化
7034,GPE,臺南
7060,GPE,新加坡
7091,GPE,遠東
3214,GPE,中華臺北
990,GPE,新北
10976,GPE,苗栗三義
726,GPE,大陸
189,GPE,基隆
590,GPE,臺北市
867,GPE,臺北市市區
497,GPE,浮洲
643,GPE,台東
522,GPE,台北
26,GPE,台北市
982,GPE,台南
29,GPE,南港
36,GPE,內湖
211,GPE,新北市
875,GPE,北市
907,GPE,宜蘭
657,GPE,汐止
31,GPE,內湖區
685,GPE,智利
245,GPE,臺灣
8878,LAW,公務人員任用法
8107,LAW,族群平等法草案
8131,LAW,反族群歧視法草案
3586,LAW,蒙哥馬利大兵法案
9117,LAW,土地法
8254,LAW,美利堅合眾國聯合發展暨共同防禦條約
9828,LAW,森林法第 47 條
6524,LAW,菸酒稅法
9073,LAW,商港法
6502,LAW,國家保防工作法
9810,LAW,電業法第 31 條
8893,LAW,民事訴訟法
8960,LAW,公立學校教職員退休撫卹條例草案
1723,LAW,食物銀行法
2064,LAW,促轉條例
8602,LAW,毒性化學物質管理法
1411,LAW,海洋委員會組織法
8874,LAW,原住民族語言發展法草案
