,Class,NER
476,EVENT,莫拉克颱風
269,EVENT,第21 次會議
196,EVENT,台中捷運
183,GPE,國姓
131,GPE,南投縣草屯鎮
630,GPE,黃埔新村
346,GPE,千葉
329,GPE,臺灣
403,GPE,竹山
198,GPE,埔里
325,GPE,二水
599,GPE,中興新村
225,GPE,水里
768,GPE,高雄
286,GPE,台東
290,GPE,集集縣
291,GPE,集集
516,GPE,信義鄉
126,GPE,草屯
650,GPE,台北
354,GPE,玉里
48,GPE,南投市
397,GPE,員林
8,GPE,台灣
35,GPE,南投
38,GPE,高雄岡山
396,GPE,田中
45,GPE,花東
387,GPE,彰化縣
50,GPE,中興新村地區
54,GPE,南投縣
57,GPE,雲林
300,GPE,濁水
64,GPE,烏日
91,GPE,雲林林
88,GPE,南投草屯
699,GPE,日本
77,GPE,林內
63,GPE,台中
742,LAW,文資法
280,LOC,車埕
391,LOC,南投市區
167,LOC,日月潭
615,LOC,中興新村
564,LOC,桃園機場
524,NORP,台灣
214,NORP,邵族
620,NORP,日本
728,NORP,美式
450,ORG,內政部警政署
427,ORG,路總局
6,ORG,審計部
499,ORG,世界銀行
541,ORG,圓山空廚
571,ORG,桃機公司
603,ORG,中興分局
605,ORG,工研院
607,ORG,經濟部
623,ORG,科技部
629,ORG,中科管理局
684,ORG,南投文化局
688,ORG,省政府
703,ORG,教育部
743,ORG,文化部
487,ORG,運研所
422,ORG,廉政署
321,ORG,臺灣港務公司
82,ORG,教部
97,ORG,行政院
157,ORG,台鐵
95,ORG,衛福部
169,ORG,中央
421,ORG,公路總局
176,ORG,台北捷運局
180,ORG,觀光局
199,ORG,原民會
202,ORG,立法院
237,ORG,台鐵局
113,ORG,中興醫院
152,ORG,交通部
267,ORG,食藥署
43,ORG,環保署
299,ORG,成大
315,ORG,鐵路局
322,ORG,交通部臺灣港務公司
10,ORG,內政部
352,ORG,臺鐵局
249,ORG,北捷
693,PERSON,蔡政委
706,PERSON,嚴家淦
718,PERSON,蔡勳雄
40,PERSON,國彥
7,PERSON,淑華
420,PERSON,興華
613,PERSON,孟啟
624,PERSON,吳敦義
153,PERSON,建宇
616,PERSON,爵民
587,PERSON,孝德
566,PERSON,鴻鈞
272,PERSON,永暉
296,PERSON,泰興
313,PERSON,主席
440,PERSON,大仁
428,PERSON,許添財
426,PERSON,歐珀
140,PERSON,丙煌
776,PERSON,陳碧涵
